example_id                                   | status | run_time        |
-------------------------------------------- | ------ | --------------- |
./spec/lib/interactive_editor_spec.rb[1:1:1] | passed | 0.0001 seconds  |
./spec/lib/interactive_editor_spec.rb[1:1:2] | passed | 0.00008 seconds |
./spec/lib/interactive_editor_spec.rb[1:1:3] | passed | 0.00006 seconds |
./spec/lib/interactive_editor_spec.rb[1:1:4] | passed | 0.00009 seconds |
./spec/lib/interactive_editor_spec.rb[1:1:5] | passed | 0.00007 seconds |
./spec/lib/interactive_editor_spec.rb[1:1:6] | passed | 0.00006 seconds |
./spec/lib/interactive_editor_spec.rb[1:2:1] | passed | 0.00006 seconds |
./spec/lib/interactive_editor_spec.rb[1:2:2] | passed | 0.00007 seconds |
./spec/lib/interactive_editor_spec.rb[1:2:3] | passed | 0.00006 seconds |
./spec/lib/interactive_editor_spec.rb[1:2:4] | passed | 0.00009 seconds |
./spec/lib/interactive_editor_spec.rb[1:2:5] | passed | 0.00006 seconds |
./spec/lib/interactive_editor_spec.rb[1:2:6] | passed | 0.00006 seconds |
./spec/lib/interactive_editor_spec.rb[1:2:7] | passed | 0.00006 seconds |
./spec/lib/interactive_editor_spec.rb[1:3:1] | passed | 0.00021 seconds |
./spec/lib/interactive_editor_spec.rb[1:3:2] | passed | 0.0004 seconds  |
./spec/lib/interactive_editor_spec.rb[1:3:3] | passed | 0.00024 seconds |
./spec/lib/interactive_editor_spec.rb[1:3:4] | passed | 0.00023 seconds |
./spec/lib/interactive_editor_spec.rb[1:3:5] | passed | 0.0004 seconds  |
./spec/lib/interactive_editor_spec.rb[1:4:1] | passed | 0.00187 seconds |
./spec/lib/interactive_editor_spec.rb[1:4:2] | passed | 0.00036 seconds |
./spec/lib/interactive_editor_spec.rb[1:4:3] | passed | 0.0007 seconds  |
./spec/lib/interactive_editor_spec.rb[1:5:1] | passed | 0.00027 seconds |
./spec/lib/interactive_editor_spec.rb[1:5:2] | passed | 0.0004 seconds  |
./spec/lib/interactive_editor_spec.rb[1:6:1] | passed | 0.02035 seconds |
./spec/lib/seed_data_manager_spec.rb[1:1:1]  | passed | 0.00092 seconds |
./spec/lib/seed_data_manager_spec.rb[1:1:2]  | passed | 0.00079 seconds |
./spec/lib/seed_data_manager_spec.rb[1:1:3]  | passed | 0.00302 seconds |
./spec/lib/seed_data_manager_spec.rb[1:2:1]  | passed | 0.00093 seconds |
./spec/lib/seed_data_manager_spec.rb[1:3:1]  | passed | 0.00092 seconds |
./spec/lib/seed_data_manager_spec.rb[1:3:2]  | passed | 0.00063 seconds |
./spec/lib/seed_data_manager_spec.rb[1:3:3]  | passed | 0.00061 seconds |
./spec/lib/seed_data_manager_spec.rb[1:4:1]  | passed | 0.00381 seconds |
./spec/lib/seed_data_manager_spec.rb[1:4:2]  | passed | 0.00246 seconds |
./spec/lib/seed_data_manager_spec.rb[1:5:1]  | passed | 0.00084 seconds |
